transaction_id,date_vente,categorie_produit_1,categorie_produit_2,produit,quantite_vendue,trans_amount_weight,region,pays,code_pays,devise
319041,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),8.0,24.0,Northern America,united states,USA,EUR
319042,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),4.0,12.0,Northern America,united states,USA,EUR
319043,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),10.0,30.0,Northern America,united states,USA,EUR
319103,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,3.0,Northern America,united states,USA,EUR
319128,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,4.0,Northern America,united states,USA,EUR
319129,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,5.0,Northern America,united states,USA,EUR
319175,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,5.0,Northern America,united states,USA,EUR
319177,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,4.0,Northern America,united states,USA,EUR
319196,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,5.0,Northern America,united states,USA,EUR
319197,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,5.0,Northern America,united states,USA,EUR
319202,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,4.0,Northern America,united states,USA,EUR
319203,2007-01-03,agriculture,soil & crop treatment,sprayer (self propelled),1.0,4.0,Northern America,united states,USA,EUR
319079,2007-01-04,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,12.0,72.0,Northern America,united states,USA,EUR
319096,2007-01-04,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,12.0,72.0,Northern America,united states,USA,EUR
319404,2007-01-04,agriculture,soil & crop treatment,sprayer (self propelled),3.0,45.0,Northern America,united states,USA,EUR
318198,2007-01-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,30.0,Northern America,united states,USA,EUR
318788,2007-01-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
318931,2007-01-08,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,8.0,48.0,Northern America,united states,USA,EUR
319398,2007-01-08,agriculture,soil & crop treatment,sprayer (self propelled),3.0,45.0,Northern America,united states,USA,EUR
318472,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
318473,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
318503,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318632,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
318633,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,1.0,6.0,Northern America,united states,USA,EUR
318720,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,2.0,12.0,Northern America,united states,USA,EUR
318721,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,3.0,18.0,Northern America,united states,USA,EUR
318722,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,6.0,36.0,Northern America,united states,USA,EUR
318723,2007-01-09,agriculture,"cereals, cotton, & feed/forage harvesting",combine harvester (cereals) & cotton picker,4.0,24.0,Northern America,united states,USA,EUR
